Standard,Division,Day,Time,Subject
2,a,monday,2pm,math
2,a,monday,3pm,science
2,a,monday,4pm,history
2,a,tuesday,9am,malayalam
2,a,tuesday,10am,english
2,a,tuesday,11am,history
2,a,tuesday,12pm,science
2,a,tuesday,2pm,hindi
2,a,tuesday,3pm,match
2,a,tuesday,4pm,tamil
2,a,wednesday,9am,match
2,a,wednesday,10am,hindi
2,a,wednesday,11am,science
2,a,wednesday,12pm,history
2,a,wednesday,2pm,english
2,a,wednesday,3pm,tamil
2,a,wednesday,4pm,malayalam
2,a,thursday,9am,malayalam
2,a,thursday,10am,tamil
2,a,thursday,11am,english
2,a,thursday,12pm,match
2,a,thursday,2pm,hindi
2,a,thursday,3pm,science
2,a,thursday,4pm,history
2,a,friday,9am,science
2,a,friday,10am,history
2,a,friday,11am,tamil
2,a,friday,12pm,english
2,a,friday,2pm,match
2,a,friday,3pm,malayalam
2,a,friday,4pm,hindi
2,b,monday,9am,hindi
2,b,monday,10am,english
2,b,monday,11am,match
2,b,monday,12pm,tamil
2,b,monday,2pm,science
2,b,monday,3pm,malayalam
2,b,monday,4pm,history
2,b,tuesday,9am,english
2,b,tuesday,10am,match
2,b,tuesday,11am,tamil
2,b,tuesday,12pm,science
2,b,tuesday,2pm,malayalam
2,b,tuesday,3pm,history
2,b,tuesday,4pm,hindi
2,b,wednesday,9am,match
2,b,wednesday,10am,tamil
2,b,wednesday,11am,science
2,b,wednesday,12pm,malayalam
2,b,wednesday,2pm,history
2,b,wednesday,3pm,hindi
2,b,wednesday,4pm,english
2,b,thursday,9am,tamil
2,b,thursday,10am,science
2,b,thursday,11am,malayalam
2,b,thursday,12pm,history
2,b,thursday,2pm,hindi
2,b,thursday,3pm,english
2,b,thursday,4pm,match
2,b,friday,9am,science
2,b,friday,10am,malayalam
2,b,friday,11am,history
2,b,friday,12pm,hindi
2,b,friday,2pm,english
2,b,friday,3pm,match
2,b,friday,4pm,tamil
3,a,monday,9am,tamil
3,a,monday,10am,match
3,a,monday,11am,english
3,a,monday,12pm,hindi
3,a,monday,2pm,history
3,a,monday,3pm,malayalam
3,a,monday,4pm,science
3,a,tuesday,9am,match
3,a,tuesday,10am,english
3,a,tuesday,11am,hindi
3,a,tuesday,12pm,history
3,a,tuesday,2pm,malayalam
3,a,tuesday,3pm,science
3,a,tuesday,4pm,tamil
3,a,wednesday,9am,english
3,a,wednesday,10am,hindi
3,a,wednesday,11am,history
3,a,wednesday,12pm,malayalam
3,a,wednesday,2pm,science
3,a,wednesday,3pm,tamil
3,a,wednesday,4pm,match
3,a,thursday,9am,hindi
3,a,thursday,10am,history
3,a,thursday,11am,malayalam
3,a,thursday,12pm,science
3,a,thursday,2pm,tamil
3,a,thursday,3pm,match
3,a,thursday,4pm,english
3,a,friday,9am,history
3,a,friday,10am,malayalam
3,a,friday,11am,science
3,a,friday,12pm,tamil
3,a,friday,2pm,match
3,a,friday,3pm,english
3,a,friday,4pm,hindi
3,b,monday,9am,english
3,b,monday,10am,match
3,b,monday,11am,tamil
3,b,monday,12pm,science
3,b,monday,2pm,malayalam
3,b,monday,3pm,history
3,b,monday,4pm,hindi
3,b,tuesday,9am,tamil
3,b,tuesday,10am,science
3,b,tuesday,11am,malayalam
3,b,tuesday,12pm,history
3,b,tuesday,2pm,hindi
3,b,tuesday,3pm,english
3,b,tuesday,4pm,match
3,b,wednesday,9am,science
3,b,wednesday,10am,malayalam
3,b,wednesday,11am,history
3,b,wednesday,12pm,hindi
3,b,wednesday,2pm,english
3,b,wednesday,3pm,match
3,b,wednesday,4pm,tamil
3,b,thursday,9am,science
3,b,thursday,10am,malayalam
3,b,thursday,11am,history
3,b,thursday,12pm,hindi
3,b,thursday,2pm,english
3,b,thursday,3pm,match
3,b,thursday,4pm,tamil
3,b,friday,9am,malayalam
3,b,friday,10am,history
3,b,friday,11am,hindi
3,b,friday,12pm,english
3,b,friday,2pm,match
3,b,friday,3pm,tamil
3,b,friday,4pm,science
4,a,monday,9am,science
4,a,monday,10am,tamil
4,a,monday,11am,match
4,a,monday,12pm,english
4,a,monday,2pm,hindi
4,a,monday,3pm,history
4,a,monday,4pm,malayalam
4,a,tuesday,9am,tamil
4,a,tuesday,10am,match
4,a,tuesday,11am,english
4,a,tuesday,12pm,hindi
4,a,tuesday,2pm,history
4,a,tuesday,3pm,malayalam
4,a,tuesday,4pm,science
4,a,wednesday,9am,match
4,a,wednesday,10am,english
4,a,wednesday,11am,hindi
4,a,wednesday,12pm,history
4,a,wednesday,2pm,malayalam
4,a,wednesday,3pm,science
4,a,wednesday,4pm,tamil
4,a,thursday,9am,english
4,a,thursday,10am,hindi
4,a,thursday,11am,history
4,a,thursday,12pm,malayalam
4,a,thursday,2pm,science
4,a,thursday,3pm,tamil
4,a,thursday,4pm,match
4,a,friday,9am,hindi
4,a,friday,10am,history
4,a,friday,11am,malayalam
4,a,friday,12pm,science
4,a,friday,2pm,tamil
4,a,friday,3pm,match
4,a,friday,4pm,tamil
4,b,monday,9am,tamil
4,b,monday,10am,match
4,b,monday,11am,english
4,b,monday,12pm,hindi
4,b,monday,2pm,history
4,b,monday,3pm,match
4,b,monday,4pm,science
4,b,tuesday,9am,match
4,b,tuesday,10am,english
4,b,tuesday,11am,hindi
4,b,tuesday,12pm,history
4,b,tuesday,2pm,malayalam
4,b,tuesday,3pm,science
4,b,tuesday,4pm,tamil
4,b,wednesday,9am,english
4,b,wednesday,10am,hindi
4,b,wednesday,11am,history
4,b,wednesday,12pm,malayalam
4,b,wednesday,2pm,science
4,b,wednesday,3pm,tamil
4,b,wednesday,4pm,match
4,b,thursday,9am,hindi
4,b,thursday,10am,history
4,b,thursday,11am,malayalam
4,b,thursday,12pm,science
4,b,thursday,2pm,tamil
4,b,thursday,3pm,match
4,b,thursday,4pm,english
4,b,friday,9am,history
4,b,friday,10am,malayalam
4,b,friday,11am,science
4,b,friday,12pm,tamil
4,b,friday,2pm,match
4,b,friday,3pm,english
4,b,friday,4pm,hindi
5,a,monday,9am,hindi
5,a,monday,10am,history
5,a,monday,11am,malayalam
5,a,monday,12pm,science
5,a,monday,2pm,tamil
5,a,monday,3pm,match
5,a,monday,4pm,english
5,a,tuesday,9am,history
5,a,tuesday,10am,malayalam
5,a,tuesday,11am,science
5,a,tuesday,12pm,tamil
5,a,tuesday,2pm,match
5,a,tuesday,3pm,english
5,a,tuesday,4pm,hindi
5,a,wednesday,9am,malayalam
5,a,wednesday,10am,science
5,a,wednesday,11am,tamil
5,a,wednesday,12pm,match
5,a,wednesday,2pm,english
5,a,wednesday,3pm,hindi
5,a,wednesday,4pm,history
5,a,thursday,9am,science
5,a,thursday,10am,tamil
5,a,thursday,11am,match
5,a,thursday,12pm,english
5,a,thursday,2pm,hindi
5,a,thursday,3pm,history
5,a,thursday,4pm,malayalam
5,a,friday,9am,tamil
5,a,friday,10am,match
5,a,friday,11am,english
5,a,friday,12pm,hindi
5,a,friday,2pm,history
5,a,friday,3pm,malayalam
5,a,friday,4pm,science
5,b,monday,9am,match
5,b,monday,10am,english
5,b,monday,11am,hindi
5,b,monday,12pm,history
5,b,monday,2pm,malayalam
5,b,monday,3pm,science
5,b,monday,4pm,tamil
5,b,tuesday,9am,english
5,b,tuesday,10am,hindi
5,b,tuesday,11am,history
5,b,tuesday,12pm,malayalam
5,b,tuesday,2pm,science
5,b,tuesday,3pm,tamil
5,b,tuesday,4pm,match
5,b,wednesday,9am,hindi
5,b,wednesday,10am,history
5,b,wednesday,11am,malayalam
5,b,wednesday,12pm,science
5,b,wednesday,2pm,tamil
5,b,wednesday,3pm,match
5,b,wednesday,4pm,english
5,b,thursday,9am,history
5,b,thursday,10am,malayalam
5,b,thursday,11am,science
5,b,thursday,12pm,tamil
5,b,thursday,2pm,match
5,b,thursday,3pm,english
5,b,thursday,4pm,hindi
5,b,friday,9am,malayalam
5,b,friday,10am,science
5,b,friday,11am,tamil
5,b,friday,12pm,match
5,b,friday,2pm,english
5,b,friday,3pm,hindi
5,b,friday,4pm,history
